CÓDIGO ;CALLE ;NÚMERO ;LOCALIDAD ;PROVINCIA ;HORARIOS 
IDE;ROCA PRESIDENTE GENERAL JULIO ARGENTINO;542;TRENQUE LAUQUEN;BUENOS AIRES;LUN A VIE 08.00 A 15.00
ILM;MERCED;173;PERGAMINO;BUENOS AIRES;LUN A VIE 09.00 A 15.00
OBJ;SAN MARTIN;274;CAMPANA;BUENOS AIRES;LUN A VIE 09.00 A 15.00
BXT;RIVADAVIA;302;BELEN DE ESCOBAR;BUENOS AIRES;LUN A VIE 10.00 A 14.00
BXP;CASTELAR;974;GARIN;BUENOS AIRES;LUN A VIE 09.00 A 14.00
BXS;LA PLATA;1125;INGENIERO MASCHWITZ;BUENOS AIRES;LUN A VIE 09.00 A 15.00
BXX;LAGRAVE PEDRO;681;PILAR;BUENOS AIRES;LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
IPL;DE LA NACION;175;SAN NICOLAS DE LOS ARROYOS;BUENOS AIRES;LUN A VIE 09.00 A 16.00
IPY;OBLIGADO RAFAEL;58;SAN PEDRO;BUENOS AIRES;LUN A VIE 09.00 A 16.00
IPK;PAGOLA FELIX;35;ZARATE;BUENOS AIRES;LUN A VIE 09.00 A 16.00
BD1;MORENO;34;BAHIA BLANCA;BUENOS AIRES;LUN A VIE 10.00 A 17.00 / SAB 10.00 A 16.00
BBC;MORENO;218;TRES ARROYOS;BUENOS AIRES;LUN A VIE 09.00 A 13.00
BPD;YRIGOYEN HIPOLITO;549;AZUL;BUENOS AIRES;LUN A VIE 09.00 A 14.00
BPV;PAZ GENERAL;2973;OLAVARRIA;BUENOS AIRES;LUN A VIE 09.00 A 15.00
BER;AVELLANEDA;602;PUNTA ALTA;BUENOS AIRES;LUN A VIE 09.00 A 15.00
DHA;SANTA FE;2052;MARTINEZ;BUENOS AIRES;LUN A VIE 11.00 A 18.00
DJA;YRIGOYEN HIPOLITO;405;QUILMES;BUENOS AIRES;LUN A VIE 11.00 A 18.00
DHB;VELEZ SARSFIELD DOCTOR DALMACIO;4319;MUNRO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
DJB;ALEM LEANDRO NICEFORO;300;LOMAS DE ZAMORA;BUENOS AIRES;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CH2;URUGUAY REPUBLICA ORIENTAL DEL;346;MORON;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CIY;ALSINA DOCTOR ADOLFO;658;BANFIELD;BUENOS AIRES;LUN A VIE 11.00 A 18.00
BSM;LURO PEDRO;2460;MAR DEL PLATA;BUENOS AIRES;LUN A VIE 08.00 A 18.00 / SAB 10.00 A 16.00
BSY;ZABALA MONSEÑOR JUAN MARTIN;146;MAR DEL PLATA;BUENOS AIRES;LUN A VIE 09.00 A 16.00
BS2;ACHA GENERAL MARIANO;350;MAR DEL PLATA;BUENOS AIRES;LUN A VIE 09.00 A 16.00
BTD;SARMIENTO DOMINGO FAUSTINO;2726;MAR DEL PLATA;BUENOS AIRES;LUN A VIE 09.00 A 16.00
BTI;19;552;BALCARCE;BUENOS AIRES;LUN A VIE 08.00 A 15.00
BSU;17;1602;MIRAMAR;BUENOS AIRES;LUN A VIE 08.00 A 15.00
BTS;58;3088;NECOCHEA;BUENOS AIRES;LUN A VIE 09.00 A 15.00
BMW;CHIOZZA;1660;SAN BERNARDO DEL TUYU;BUENOS AIRES;LUNES 10.00 A 14.00 / MIE Y JUE 10.00 A 14.00
BNI;ENEAS;51;PINAMAR;BUENOS AIRES;LUN A VIE 09.00 A 16.00
BMQ;4;2037;SAN CLEMENTE DEL TUYU;BUENOS AIRES;LUN A VIE 09.00 A 16.00
BMS;37;226;SANTA TERESITA;BUENOS AIRES;LUN A VIE 09.00 A 16.00
VLG;BUENOS AIRES;762;VILLA GESELL;BUENOS AIRES;LUN A VIE 09.00 A 12.00
TDL;PINTO GENERAL;623;TANDIL;BUENOS AIRES;LUN A VIE 10.00 A 15.00
BMU;ESPORA CORONEL DE MARINA TOMAS;55;MAR DE AJO;BUENOS AIRES;VIERNES 10.00 A 13.00 / MARTES 10.00 A 13.00
BQI;74;1342;LA PLATA;BUENOS AIRES;LUN A VIE 09.00 A 15.00
VCC;PERON TENIENTE GENERAL JUAN DOMINGO;321;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAC;DE MAYO;770;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAD;CALLAO;131;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAE;PERON TENIENTE GENERAL JUAN DOMINGO;2821;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAF;MEDRANO;66;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CA0;GALLARDO ANGEL;756;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CA2;CARRASCO;31;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAJ;RIVADAVIA;11065;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAK;ALVAREZ JONTE;5150;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAL;CALLAO;1577;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 18.00
CAM;CURAPALIGUE;815;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CA3;PUEYRREDON;1352;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CA4;CORRIENTES;3702;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CA5;SAN MARTIN;2710;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAR;HELGUERA;2901;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAS;TERRADA;4675;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAU;IRIGOYEN DOCTOR BERNARDO DE;698;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAV;ENTRE RIOS;452;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAW;SCALABRINI ORTIZ RAUL;176;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CA6;SAN JUAN;3001;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CA7;DIRECTORIO;552;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CAZ;SANTA FE;3882;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CBA;LACROZE FEDERICO;2476;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CB1;CABILDO;2349;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CBD;CABILDO;4576;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CB2;MONROE;3390;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CBF;MONROE;5254;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CBG;BROWN ALMIRANTE;780;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CB3;SALMUN FEIJOO JOSE AARON;575;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CBJ;CASEROS;2459;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CB4;DEL BARCO CENTENERA;2933;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CBM;MARTI JOSE;2995;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CB5;MURGUIONDO;3961;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CB6;ALBERDI JUAN BAUTISTA;5924;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CBP;DE LOS INCAS;4624;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 18.00
CBV;URUGUAY;1069;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CBW;RIVADAVIA;5337;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CBX;BRASIL;1153;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 18.00
CBZ;VIAMONTE;2451;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CCC;PLAZA;3855;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CCG;DEL LIBERTADOR;132;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CCH;LAPRIDA;2128;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CCJ;LOPE DE VEGA;2888;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
DFB;LACROZE FEDERICO;4164;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
DFA;ARTIGAS GENERAL JOSE GERVASIO;40;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CB7;PARANA;777;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CFB;PARAGUAY;767;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CFA;SAN JUAN;1349;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
CEX;ANTARTIDA ARGENTINA;1100;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 16.00
CDI;DIAZ CORONEL;2190;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
DAA;SAN MARTIN;801;SAN LUIS;SAN LUIS;LUN A VIE 09.00 A 18.00
DBG;GUILLET LEON;31;VILLA MERCEDES;SAN LUIS;LUN A VIE 08.00 A 15.00
EBR;25 DE MAYO;102;PARANA;ENTRE RIOS;LUN A VIE 08.00 A 18.00 / SAB 08.00 A 14.00
EIK;GALARZA;712;CONCEPCION DEL URUGUAY;ENTRE RIOS;LUN A VIE 08.00 A 15.00
EAU;URQUIZA GENERAL JUSTO JOSE DE;128;GUALEGUAY;ENTRE RIOS;LUN A VIE 08.00 A 15.00
GHU;URQUIZA;1036;GUALEGUAYCHU;ENTRE RIOS;LUN A VIE 08.00 A 15.00
COC;YRIGOYEN PRESIDENTE HIPOLITO;575;CONCORDIA;ENTRE RIOS;LUN A VIE 08.00 A 15.00
EHO;TABENI JAIME;1320;CHAJARI;ENTRE RIOS;LUN A VIE 08.00 A 15.00
EJE;12 DE ABRIL;431;COLON;ENTRE RIOS;LUN A VIE 08.00 A 15.00
EHQ;MORENO DOCTOR MARIANO;921;VILLAGUAY;ENTRE RIOS;LUN A VIE 08.00 A 15.00
FAG;PERON PRESIDENTE JUAN DOMINGO;258;LA RIOJA;LA RIOJA;LUN A VIE 09.00 A 16.00 / SAB 08.00 A 14.30
FCH;GONZALEZ DOCTOR JOAQUIN VICTOR;201;CHILECITO;LA RIOJA;LUN A VIE 08.00 A 15.00
GAL;BUENOS AIRES;252;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;LUN A VIE 08.00 A 17.00
OJW;BELGRANO MANUEL;261;LA BANDA;SANTIAGO DEL ESTERO;LUN A VIE 08.00 A 15.00
HAA;SARMIENTO;102;RESISTENCIA;CHACO;LUN A VIE 08.00 A 19.00
HFU;BELGRANO DOCTOR MANUEL;601;PRESIDENCIA ROQUE SAENZ PEÑA;CHACO;LUN A VIE 07.00 A 13.00
JAC;DE LA ROZA JOSE IGNACIO;223;SAN JUAN;SAN JUAN;LUN A VIE 08.00 A 18.00 / SAB 09.00 A 14.00
KAA;SAN MARTIN;761;SAN FDO DEL VALLE DE CATAMARCA;CATAMARCA;LUN A VIE 08.00 A 15.00
LAR;RIVADAVIA BERNARDINO;202;SANTA ROSA;LA PAMPA;LUN A VIE 09.00 A 16.00
GTO;22;653;GENERAL PICO;LA PAMPA;LUN A VIE 09.00 A 16.00
